Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Syon SY06 Cyra Traditional Rug by Asiatic,99.0,30.6,Save 69,Polyester,Easy to clean,"Bordered , Floral",4.0,,China,Traditional," Very pretty rug, I am very glad with my beautiful rug. ",67062fb9f386a3a7f26253af
Nourison OCP02 Ocean Pearl Wool Rug,1899.0,1518.72,Save 20,"Natural Fibers , Wool , Others",Easy to clean,Geometric,12.0,,,"Handmade , Luxurious , Wool",,67062fb9f386a3a7f26253b0
York Yellow Wool Rug by Asiatic,69.0,42.48,Save 38,Wool,Easy to clean,"Bordered , Plain",9.0,2300,,"Handmade , Luxurious , Modern , Plain , Wool",,67062fbaf386a3a7f26253b1
3337 E Portland Rug by Oriental Weavers,45.9,34.19,Save 26,Polypropylene,Easy to clean,Optical/ (3D),11.0,,Egypt,Modern, Great quality rugs at decent prices and quick delivery. Would recommend. ,67062fbaf386a3a7f26253b2
Aurora Quake AU22 Rug by Asiatic,89.0,62.49,Save 30,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,2250,Turkey,Modern,,67062fbaf386a3a7f26253b3
Passion PSN22 Ivory Multi Rug by Nourison,69.0,60.0,Save 13,Polypropylene,Easy to clean,Floral,10.0,,,"Luxurious , Traditional , Persian",,67062fbaf386a3a7f26253b4
Asiatic Albany Grid Olive Chequered Wool Rug,99.0,59.99,Save 39,Wool,Easy to clean,Chequered,,,India,"Handmade , Modern , Shaggy , Wool",,67062fbaf386a3a7f26253b5
Fusion Ivory Wool Rug by Rug Guru,175.0,143.0,Save 18,Wool,Easy to clean,Plain,30.0,3500,India,"Luxurious , Plain , Striped , Wool"," Good quality item, very competitive price, fast delivery, communications good. What more could one want. They also have a very wide variety of other rugs to tempt you. ",67062fbaf386a3a7f26253b6
Royal Jewel JEW07 Green Traditional Rug By Oriental Weavers,94.4,75.52,Save 20,Wool,Easy to clean,"Bordered , Floral",20.0,4164,India,"Handmade , Traditional , Wool", The rug was what we where looking for to go with our decor  |  Excellent choice of products. Website easy to use. Appealing offers! Good communication about delivery. Very happy with our rug. ,67062fbaf386a3a7f26253b7
Kelim Blue Flatweave Rug by Oriental Weavers,109.99,87.99,Save 20,"Cotton , Others",Easy to clean,Striped,,1559,India,"Handmade , Kilim , Striped"," A stylish and durable addition to my home, perfect for our hightraffic area.  |  This rug and company have exceeded my expectations. I would highly recommend this. ",67062fbaf386a3a7f26253b8
Amara AMA106 Ivory Grey Blue Abstract Jute Backing Rug By Concept Looms,69.0,60.0,Save 13,Polyester,Professional Cleaning,Abstract,13.0,,Turkey,Modern,,67062fbaf386a3a7f26253b9
Think Rugs Vintage 35018 Green Abstract Bordered Traditional Rug,59.99,35.28,Save 41,Polypropylene,Easy to clean,"Abstract , Bordered",10.0,,Turkey,Traditional,,67062fbaf386a3a7f26253ba
Asiatic Matrix MAX98 Solstice Gunmetal Striped Hand Tufted Wool Rug,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,Striped,1214.0,,India,"Handmade , Modern , Wool",,67062fbaf386a3a7f26253bb
Asiatic Kuza Plain Striped Silver Contemporary Polypropylene Rug,79.0,45.6,Save 42,"Polyester , Polypropylene",Easy to clean,"Plain , Striped",11.0,,Turkey,Modern,,67062fbaf386a3a7f26253bc
Dune DU155 White Grey Abstract Wool Rug By Concept Looms,980.0,816.0,Save 17,"Viscose , Wool",Easy to clean,Abstract,8.0,3050,India,"Luxurious , Modern , Wool",,67062fbaf386a3a7f26253bd
Nourison Elegant Heirlooms ELH01 Blue Multicolour Floral Bordered Traditional Rug,59.0,45.5,Save 23,Polyester,Easy to clean,"Bordered , Floral",7.0,1650,Turkey,Traditional,,67062fbaf386a3a7f26253be
Dune 014-0005 7292 Carved Textured Natural Shaggy Rug by Mastercraft,121.2,91.42,Save 25,"Polyester , Recycled Material",Easy to clean,Abstract,25.0,33002,Belgium,"Modern , Shaggy",,67062fbaf386a3a7f26253bf
Jazmin JZM03 Pacific Kilim Rug By Concept Looms,115.0,93.84,Save 18,"Cotton , Wool",Easy to clean,"Chequered , Geometric",3.0,,India,"Handmade , Kilim , Modern",,67062fbaf386a3a7f26253c0
Hand Tufted Floral Wool Rug in Ebony Black - Bespoke Size,,,,"Viscose , Wool",Professional Cleaning,Floral,12.7,1760,India,"Handmade , Luxurious , Modern , Wool",,67062fbaf386a3a7f26253c1
Black Floral Hand Tufted Designer Wool Rug - Custom Rug,,,,"Viscose , Wool",Professional Cleaning,Floral,10.16,1140,India,"Handmade , Luxurious , Modern , Wool",,67062fbaf386a3a7f26253c2
Think Rugs Flores 1925 Cream Washable Rug,111.99,66.73,Save 40,Polyester,Easy to clean,"Abstract , Optical/ (3D)",12.0,1200,Turkey,Modern,,67062fbaf386a3a7f26253c3
Asiatic Valley Charcoal Path Abstract Rug,139.0,77.52,Save 44,Polyester,Easy to clean,Abstract,1015.0,,Turkey,Modern,,67062fbaf386a3a7f26253c4
Giant Sixties Stem 463703 Tomato Rug by Orla Kiely,259.0,233.1,Save 10,Polypropylene,Professional Cleaning,"Graphics , Nature Print",11.0,2200,,"Handmade , Luxurious , Modern , Outdoor",,67062fbaf386a3a7f26253c5
Asiatic Elodie Terracotta Black Abstract Rug,279.0,163.2,Save 42,"Viscose , Acrylic",Easy to clean,"Abstract , Bordered",3.0,,Turkey,Modern,,67062fbaf386a3a7f26253c6
Giant Sixties Stem 463705 Noir Rug by Orla Kiely,259.0,233.1,Save 10,Polypropylene,Professional Cleaning,"Graphics , Nature Print",11.0,2200,,"Handmade , Luxurious , Modern , Outdoor , Wool",,67062fbaf386a3a7f26253c7
Desire DSR01 Ivory Silver Bordered Rug By Nourison,149.0,120.08,Save 19,Polyester,Easy to clean,"Bordered , Chequered",8.0,2200,Turkey,Modern,,67062fbaf386a3a7f26253c8
Esme Sliver Wool Rug By Esselle,,,,Wool,Easy to clean,Plain,10.0,1600,India,"Handmade , Modern , Plain , Wool",,67062fbaf386a3a7f26253c9
Irradiant IRR01 Black Ivory Abstract Rug By Calvin Klein,159.0,130.0,Save 18,Polyester,Easy to clean,Abstract,8.0,2330,Turkey,Modern,,67062fbbf386a3a7f26253ca
Galleria 063-0650-9243 Geometric Rug by Mastercraft,211.2,160.16,Save 24,Polypropylene,Easy to clean,"Abstract , Geometric",11.0,3050,,"Luxurious , Modern",,67062fbbf386a3a7f26253cb
Matrix Network MAX82 Forest Striped Rug by Asiatic,299.0,181.56,Save 39,"Viscose , Wool",Easy to clean,"Abstract , Optical/ (3D) , Striped",1214.0,,India,"Handmade , Luxurious , Modern , Striped",,67062fbbf386a3a7f26253cc
Balance BLN02 Blue/Ivory Abstract Rug by Calvin Klein,120.0,100.0,Save 17,"Polyester , Polypropylene",Easy to clean,Abstract,6.0,,Turkey,"Luxurious , Modern",,67062fbbf386a3a7f26253cd
Mari 081507 Mineral Green Wool Rug by Laura Ashley,629.0,566.1,Save 10,Wool,Easy to clean,Nature Print,10.0,2500,India,"Luxurious , Modern , Wool",,67062fbbf386a3a7f26253ce
Kuza Border Beige Abstract Rug by Asiatic,79.0,45.6,Save 42,"Polyester , Polypropylene",Easy to clean,Abstract,11.0,,Turkey,"Luxurious , Modern",,67062fbbf386a3a7f26253cf
Kashqai 4301 300 Traditional Rug By Mastercraft,206.4,156.53,Save 24,Wool,Easy to clean,"Bordered , Geometric",8.5,2611,Belgium,"Luxurious , Traditional , Persian , Wool"," Impressive carpet, Great quality Good price, swift delivery, no hassles.  |  Excellent service and delivery schedule to France. Really pleased with the rugs they look lovely.
  |  The traditional wool rug in vibrant red is a masterpiece. The traditional design and the bold color make it a focal point in my living room. The wool material adds a sense of luxury, and I'm impressed with the attention to detail in its construction. ",67062fbbf386a3a7f26253d0
Country Tweed Burnt Sienna Plain Wool Rug by Origins,115.0,94.0,Save 18,Wool,Easy to clean,Plain,25.0,2850,India,"Handmade , Luxurious , Modern , Plain , Wool", Elegant rug. High quality rug. Very impressed with the quality and the service too. ,67062fbbf386a3a7f26253d1
Tribal 626 W Beige/Ivory Shaggy Rug by Oriental Weavers,49.99,45.0,Save 10,Polyester,Easy to clean,"Abstract , Geometric",30.0,,Egypt,"Modern , Shaggy",,67062fbbf386a3a7f26253d2
Prismatic PRS13 Blue Flame Wool Rug by Nourison,699.0,540.0,Save 23,"Viscose , Wool",Professional Cleaning,"Abstract , Optical/ (3D)",10.0,,China,"Handmade , Luxurious , Modern , Wool",,67062fbbf386a3a7f26253d3
RF17 Reef Wool Rug by Asiatic,129.0,75.24,Save 42,Wool,Easy to clean,Geometric,10.0,3400,India,"Handmade , Luxurious , Modern , Wool",,67062fbbf386a3a7f26253d4
Ascot Forest Green Bordered Modern Wool Handmade Plain Luxurious Stain-Resistant Easy to Clean Rug,149.0,98.12,Save 34,"Viscose , Wool",Easy to clean,"Bordered , Plain",10.0,3100,India,"Handmade , Luxurious , Modern , Plain , Wool"," Great choice; all good with the ordering & delivery process. Love the rug  excellent quality.  |  An Asiatic Ascot rug in green with a bordered pattern from The Rug Shop UK has brought warmth and luxury to my space. The wool material feels exquisite underfoot, and the craftsmanship is topnotch.  |  A total contemporary look and feel! Although the delivery was a bit delayed, customer service was helpful!   |  Alluring surface look and colour! The material is really soft and glam! Would highly recommend!   |  Brilliant look! The material is of high quality and durable! Received an amazing deal on it as well.   |  Great look and pattern! The pile is soft and durable! Both customer service and delivery were on point!   |  Amazing look and pattern! From order to delivery, everything was handled by The Rug Shop UK perfectly!  ",67062fbbf386a3a7f26253d5
Gatsby Blue Rug by Asiatic,389.0,240.72,Save 38,Viscose,Easy to clean,Abstract,6.0,3100,India,"Handmade , Luxurious , Modern",,67062fbbf386a3a7f26253d6
Nourison Passion PSN09 Multicolour Rug,69.0,60.0,Save 13,Polypropylene,Easy to clean,Abstract,6.0,,,"Luxurious , Modern", Outstanding delivery and excellent prices. Will definitely recommend to friends and family. ,67062fbbf386a3a7f26253d7
Nourison Maxell MAE07 Ivory/Grey Rug,109.0,90.68,Save 17,Polyester,Easy to clean,Abstract,10.0,,China,"Luxurious , Modern",,67062fbbf386a3a7f26253d8
Nourison Damask DAS06 Ivory Rug,39.0,33.18,Save 15,"Cotton , Polyester , Others",Easy to clean,Floral,,,,Modern,,67062fbbf386a3a7f26253d9
Think Rugs Boho 7043 White/Black Rug,132.99,79.05,Save 41,Polypropylene,Easy to clean,Chequered,40.0,2100,,"Kilim , Modern , Shaggy , Moroccan"," A black and white rug with a bohemian chic vibe has found its place in my home, adding character and charm to various rooms.  |  A Total Contemporary look! From order to deliver, everything was handled by The Rug Shop UK perfectly!  |  Absolutely luxurious rug! Looks perfect in my bedroom! Got an amazing deal on this one! Would definitely buy again!  |  Really soft and comfortable appeal! The delivery timing could have been better. Customer Service was good!  |  Extremely soft and luxurious! It’s perfect for my bedroom! Apart from delayed delivery, very happy with the purchase!  |  Amazingly beautiful appeal! The soft feel of the rug is just brilliant! – One Happy Customer! ",67062fbbf386a3a7f26253da
Think Rugs Morocco 3742 Ivory/Black Shaggy Rug,141.99,84.15,Save 41,Acrylic,Easy to clean,Geometric,50.0,2250,,"Handmade , Luxurious , Modern , Shaggy",,67062fbbf386a3a7f26253db
Mehari 023 0182 6258 Rug by Mastercraft,98.4,74.58,Save 24,Polypropylene,Easy to clean,Abstract,25.0,3197,Belgium,Modern,,67062fbbf386a3a7f26253dc
Bronte Fine Loop Smoke Wool Rug by Asiatic,199.0,118.32,Save 41,Wool,Easy to clean,Floral,9.0,3200,India,"Handmade , Luxurious , Traditional , Wool",,67062fbbf386a3a7f26253dd
Maine Fossil Shaggy Wool Rug by Rug Guru,195.0,162.0,Save 17,Wool,Easy to clean,Plain,50.0,4000,India,"Handmade , Luxurious , Modern , Plain , Shaggy , Wool"," Amazing soft shaggy rug, thick pile as we required. Thank you. ",67062fbbf386a3a7f26253de
Cobble 29208 Luxury Wool Rug by Brink & Campman,1285.0,1156.5,Save 10,Wool,Easy to clean,Plain,25.0,4000,Hungary,"Handmade , Luxurious , Modern , Plain , Wool", Very pleased with our purchase from the rug shop UK. ,67062fbbf386a3a7f26253df
Rocks 70504 Wool Rug by Brink & Campman,1229.0,1106.1,Save 10,Wool,Easy to clean,Plain,50.0,5500,Holland,"Luxurious , Modern , Plain , Shaggy , Wool"," Loved my shaggy black white rug that looks lovely under my center table. Thanks for the good service
 ",67062fbbf386a3a7f26253e0
Rocks Shaggy Multi Wool Rug by Origins,125.0,102.6,Save 18,Wool,Easy to clean,Abstract,50.0,3000,India,"Handmade , Modern , Shaggy , Wool"," The shaggy look is just brilliant and the colours really complement my room! Whole ordering experience was great! – One Happy Customer!  |  Delighted with my beautiful rug and prompt service from The Rug Shop.  |  Answered email questions very quickly and once ordered, the rug arrived very quickly too! Would highly recommend to family and friends.  |  Perfectly shaggy texture! The material is of amazing quality as well. A must have!  |  Affordable, sumptuous-look, and high quality! The entire ordering experience was amazing!  |  Luxurious and Contemporary! Looks perfect in my living room. The customer service was okay and the delivery was a bit delayed.  |  The rug is pure luxury for my feet! It's incredibly soft and plush, making it perfect for a cozy bedroom or living area. The multicolor design adds a playful and trendy vibe to my room. I appreciate the wool material, as it's both durable and sustainable. I'm very satisfied with this purchase.  |  Amazingly plush appeal! From order to delivery, everything went smooth and hassle-less! ",67062fbbf386a3a7f26253e1
Bokhara Beige Traditional Wool Rug by Asiatic,149.0,90.72,Save 39,Wool,Easy to clean,"Bordered , Floral",7.0,,Pakistan,"Handmade , Traditional , Wool",,67062fbbf386a3a7f26253e2
Think Rugs Pembroke G2075 Grey/Blue Rug,45.99,27.2,Save 41,Polypropylene,Easy to clean,Abstract,15.0,2500,,Modern," The grey/blue rug strikes a harmonious balance between sophistication and charm, elevating my decor with its intricate patterns and subtle hues.  |  It's the perfect blend of price and quality. ",67062fbbf386a3a7f26253e3
Sunrise Y505A Multi Rug By Think Rugs,71.99,42.5,Save 41,Polypropylene,Easy to clean,"Abstract , Geometric",15.0,2000,,"Funky , Modern"," Cost-effective, chic appeal, and high quality! The rug totally complements the tone of my room! A must have!  |  Gorgeous, abstract and affordable! From order to delivery, everything went smooth and hassle free! Would recommend!
  |  Great look, high-quality and easy to maintain! Apart from delayed delivery, happy with the whole ordering experience!  |  Contemporary, Great texture and Affordable! The customer service was okay and the delivery was a bit delayed.
  |  Amazingly abstract and beautiful appeal! Whole ordering experience was great! – Happy with the purchase! ",67062fbbf386a3a7f26253e4
Elements EL-43 Grey Wool Rug By Think Rugs,292.99,174.25,Save 41,Wool,Easy to clean,"Abstract , Geometric",15.0,2500,,"Handmade , Luxurious , Modern , Wool",,67062fbbf386a3a7f26253e5
Zehraya ZE09 Gold Abstract Rug by Asiatic,189.0,114.48,Save 39,Polyester,Easy to clean,Abstract,3.0,1700,Turkey,"Luxurious , Modern",,67062fbcf386a3a7f26253e6
Jute Duck Egg Bordered Rug by Origins,125.0,103.4,Save 17,Natural Fibers,Easy to clean,Bordered,20.0,3000,India,"Handmade , Luxurious , Modern"," Stunning design and color! The material is of high quality! Both customer service and delivery timing were great!   |  A contemporary looking rug! From order to delivery, The Rug Shop UK handled everything well!   |  A contemporary looking rug! From order to delivery, The Rug Shop UK handled everything well!   |  Amazing rug with high-quality! Its easy to clean as well! Got a delayed delivery which was a bit hassle!   |  Great-quality, amazing look, and cost-effective! Got an Amazing offer on the product as well! - One Happy Customer!   |  Great-quality, amazing look, and cost-effective! Got an Amazing offer on the product as well! - One Happy Customer!   |  A stunning rug for my patio! The material is sturdy and easy to maintain! Would definitely buy again!   |  I am fully satisfied with the jute rug and the quality of the rug. Superb delivery service and very co-operative staff. ",67062fbcf386a3a7f26253e7
Ariana AR10 Ripple Kilim Rug by Asiatic,89.0,54.0,Save 39,Polypropylene,Easy to clean,Abstract,1830.0,3000,Turkey,"Kilim , Modern , Moroccan",,67062fbcf386a3a7f26253e8
Divine DIV09 Sand Storm Wool Rug by Nourison,1650.0,1368.0,Save 17,"Viscose , Wool",Easy to clean,"Abstract , Optical/ (3D)",7.0,,,"Handmade , Luxurious , Modern , Wool",,67062fbcf386a3a7f26253e9
Payton Teal Plain Rug by Asiatic,79.0,48.0,Save 39,Polyester,Easy to clean,Plain,45.0,2700,Turkey,"Luxurious , Modern , Shaggy",,67062fbcf386a3a7f26253ea
Brooklyn Kids 20341 Pink Kids Rug by Think Rugs,42.99,25.08,Save 42,Polypropylene,Easy to clean,"Animal , Graphics , Pictorial",10.0,2000,,"Kids , Modern"," Excellent quality, very happy with this rug for my granddaughters bedroom  ",67062fbcf386a3a7f26253eb
Sunshine Red Wool Rug by ITC,,,,"Viscose , Wool",Easy to clean,Dotted,,,,"Luxurious , Modern , Wool",,67062fbcf386a3a7f26253ec
Cozumel CZM04 Cream Rug by Nourison,50.0,39.78,Save 20,Polypropylene,Easy to clean,"Abstract , Optical/ (3D)",10.0,,,"Modern , Outdoor",,67062fbcf386a3a7f26253ed
Alto AL02 Cream Grey Geometric Rug by Asiatic,89.0,58.8,Save 34,Polypropylene,Easy to clean,Geometric,50.0,3200,Turkey,"Luxurious , Modern , Shaggy"," Communication was very good and rug arrived on time. Would have given 5 stars, but nobody is perfect. ",67062fbcf386a3a7f26253ee
Living Treasures LI01 Rust Traditional Wool Rug by Nourison,165.0,140.0,Save 15,Wool,Easy to clean,"Bordered , Geometric",10.0,2877,,"Luxurious , Traditional , Wool",,67062fbcf386a3a7f26253ef
Fontanetta Silver Wool Rug by William Yeoward,2818.75,2255.0,Save 20,"Natural Fibers , Wool",Easy to clean,Abstract,,,,"Handmade , Luxurious , Modern , Wool",,67062fbcf386a3a7f26253f0
Tangra TNR05 Cream Grey Abstract Rug by Nourison,89.0,69.52,Save 22,"Polyester , Polypropylene",Easy to clean,Abstract,8.0,,,Modern, I have had a few rugs from here and always been happy with the service and delivery. ,67062fbcf386a3a7f26253f1
Palazzo Da Mosto 9141 Borgia Red Flatweave Rug by Louis De Poortere,168.0,151.2,Save 10,"Cotton , Polyester",Professional Cleaning,Floral,3.0,1500,Belgium,Traditional,,67062fbcf386a3a7f26253f2
Cozumel CZM01 Dark Grey Rug by Nourison,50.0,39.78,Save 20,Polypropylene,Easy to clean,"Abstract , Optical/ (3D)",10.0,,,"Modern , Outdoor",,67062fbcf386a3a7f26253f3
Alhambra 6645C Ivory Red Traditional Rug by Mastercraft,70.8,53.46,Save 24,Polyester,Easy to clean,Floral,6.0,2027,Turkey,Traditional,,67062fbcf386a3a7f26253f4
Craft 19788 Grey Navy Abstract Rug by Think Rugs,135.99,80.75,Save 41,"Polyester , Polypropylene",Easy to clean,Abstract,10.0,2000,Turkey,Modern,,67062fbcf386a3a7f26253f5
Aurora 54238 Light Beige Grey Geometric Rug by Think Rugs,164.99,98.18,Save 40,Polypropylene,Easy to clean,Geometric,10.0,2000,,Modern,,67062fbcf386a3a7f26253f6
Tropicana 725 K Floral Rug by Oriental Weavers,59.99,51.29,Save 15,"Polyester , Polypropylene",Easy to clean,Floral,,,,"Modern , Outdoor"," This floral looks perfect with my modern décor! The customer service and delivery was great! – One Happy Customer!  |  Absolutely stunning outdoor rug! It’s affordable and easy to maintain! The quality is just perfect and worth the money spent!  |  The rug looks absolutely wonderful on my deck! Apart from delayed delivery, very happy with the purchase! Would recommend!  |  A great rug with value for money! The pattern and material is just brilliant! A must buy!  |  Extremely contemporary and stunning! Customer Service was good, however the delivery was delayed! ",67062fbcf386a3a7f26253f7
Valeria 1803 R Red Rug by Oriental Weavers,29.99,25.64,Save 15,Polypropylene,Easy to clean,"Floral , Graphics",8.0,1500,Egypt,"Traditional , Persian"," Lovely rug and a great price. Super fast delivery, a great service all round. Highly recommend.  |  Vast collection with fab design and quality... Superb service... Quick delivery. ",67062fbcf386a3a7f26253f8
Athena 18597 Grey Terra Abstract Rug by Think Rugs,155.99,92.65,Save 41,Polypropylene,Easy to clean,Abstract,6.0,1400,,Traditional,,67062fbcf386a3a7f26253f9
Viso 424004 Steel Hand Tufted Outdoor Rug by Scion,265.0,238.5,Save 10,Polypropylene,Professional Cleaning,Geometric,11.0,1400,,"Handmade , Luxurious , Modern , Outdoor",,67062fbcf386a3a7f26253fa
Nourison Lida Sherafatmand LIDA4 Multicolor Rug,299.0,228.8,Save 23,Nylon,Easy to clean,"Floral , Optical/ (3D)",9.0,2401,,"Luxurious , Modern"," Amazing design …superb quality and speedy delivery…Well packed…Overall very good experience 
 ",67062fbcf386a3a7f26253fb
Estelle Sky Grey Geometric Wool Rug by Origins,125.0,102.0,Save 18,Wool,Easy to clean,Geometric,5.0,1900,India,"Handmade , Modern , Wool",,67062fbcf386a3a7f26253fc
Salta SA01 Anthracite Rug by Asiatic,,,,Polypropylene,Easy to clean,Geometric,211.0,1350,Turkey,"Modern , Outdoor",,67062fbcf386a3a7f26253fd
Infinite IFT03 Light Grey Rug by Nourison,199.0,162.64,Save 18,"Polyester , Polypropylene",Professional Cleaning,"Bordered , Floral",12.0,2127,,"Traditional , Persian",,67062fbcf386a3a7f26253fe
Nova NV32 Abstract Blue Rug By Asiatic,109.0,67.32,Save 38,Polypropylene,Easy to clean,Abstract,9.0,2250,Turkey,Modern,,67062fbcf386a3a7f26253ff
Portland Cream Plain Shaggy Rug by Origins,35.0,27.0,Save 23,Polyester,Easy to clean,Plain,40.0,,China,"Modern , Plain , Shaggy",,67062fbcf386a3a7f2625400
Portland Natural Plain Shaggy Rug by Origins,35.0,29.1,Save 17,Polyester,Easy to clean,Plain,40.0,,China,"Modern , Plain , Shaggy",,67062fbdf386a3a7f2625401
Muse MU13 Orange Multicolour Retro Abstract Modern Funky Stain Resistant Rug for Living & Dining Room,39.0,35.1,Save 10,Polypropylene,Easy to clean,Abstract,9.0,2000,,"Funky , Modern"," This Muse Modern Abstract Rug Collection has truly transformed my living space into a soulrefreshing oasis. Its chic geometric patterns and trendy colors add a contemporary touch that complements my home perfectly. I love how versatile these rugs are; they can be used anywhere, making them a musthave for every room.  |  My Muse Modern Abstract Rug is like a softlanding spot for me after a tiring day. The beautiful design and color palette bring life to my living room, creating a rejuvenating atmosphere. Plus, the durability and easy maintenance of the Polypropylene fabric make it a practical choice.  |  I can't get enough of the Muse Modern Abstract Rug Collection! The abstract patterns and trendy colors add an artistic flair to my home. It's like stepping on a cloud, and the resilience of the rug ensures it will stay looking fresh for a long time.  |  The Muse Modern Abstract Rug is a gamechanger for my home decor. Its contemporary appeal and soft texture create a welcoming atmosphere. With kids and pets, I needed something durable and easy to clean, and this rug delivers on both fronts.  |  Brilliantly tones and chic design! The material is soft to touch! Would highly recommend it to anyone!  |  The Muse Modern Abstract Rug has become the centerpiece of my living room. The stylish geometric patterns and trendy colors have given my space a whole new vibe. It's not only aesthetically pleasing but also practical with its durable and easytoclean Polypropylene material.  |  Perfectly abstract rug! It’s perfect for my bedroom! From order to delivery, everything was great!   |  Amazing design with glamorous tones! The rug is soft underfoot. Apart from delayed delivery, really happy with the purchase! ",67062fbdf386a3a7f2625402
Muse MU02 Sky Abstract Rug by Asiatic,39.0,35.1,Save 10,Polypropylene,Easy to clean,"Abstract , Geometric",9.0,2000,,"Funky , Modern",,67062fbdf386a3a7f2625403
Terrace Diamond Navy Outdoor Rug by Ultimate Rug,27.5,19.0,Save 31,Polypropylene,Easy to clean,Geometric,15.0,,,"Modern , Outdoor",,67062fbdf386a3a7f2625404
Tiago 46316/AF100 White Pictorial Rug by Mastercraft,213.6,161.38,Save 24,Polypropylene,Easy to clean,Pictorial,10.5,2545,Belgium,Modern,,67062fbdf386a3a7f2625405
Onyx ONX01 Silver Geometric Rug by Concept Looms,229.0,198.72,Save 13,"Natural Fibers , Wool , Others",Easy to clean,Abstract,9.0,,,Modern,,67062fbdf386a3a7f2625406
Jazz JAZ17 Silver Geometric Rug by Concept Looms,129.0,100.14,Save 22,Recycled Material,Easy to clean,"Geometric , Striped",3.0,,,"Modern , Outdoor",,67062fbdf386a3a7f2625407
Dara Abstract Ochre Rug by Asiatic,149.0,89.76,Save 40,Polypropylene,Easy to clean,Abstract,2.0,2200,India,"Modern , Outdoor",,67062fbdf386a3a7f2625408
Habitat Yerba 411601 Modern Rug by Brink & Campman,315.0,283.5,Save 10,Polypropylene,Professional Cleaning,Geometric,6.0,1400,,"Funky , Handmade , Luxurious , Modern , Outdoor",,67062fbdf386a3a7f2625409
Grayson Taupe Rug by Asiatic,259.0,167.28,Save 35,Recycled Material,Easy to clean,Plain,2.0,3000,India,"Modern , Outdoor , Plain",,67062fbdf386a3a7f262540a
Newquay 096-0014 2007 96 Gold Flatwoven Rug by Mastercraft,49.2,37.62,Save 24,Polypropylene,Easy to clean,Floral,3.0,924,Belgium,Modern,,67062fbdf386a3a7f262540b
Aspen 1682 Grey Ivory Shaggy Rug by Think Rugs,63.99,37.83,Save 41,Polypropylene,Easy to clean,Geometric,50.0,2500,,"Kilim , Modern , Shaggy , Moroccan",,67062fbdf386a3a7f262540c
3D Carved Blocks Natural Shaggy Rug by Ultimate Rug,41.94,30.5,Save 27,Polyester,Easy to clean,"Geometric , Optical/ (3D)",35.0,,,"Modern , Shaggy , Sparkle",,67062fbdf386a3a7f262540d
Maze Ochre Geometric Wool Rug by Origins,210.0,174.6,Save 17,Wool,Easy to clean,"Geometric , Optical/ (3D)",17.0,,,"Handmade , Luxurious , Modern , Wool", I had to return the rug due to a fault. The Rug shop was very professional dealing with the return with great communication. Would definitely buy from them again even though this was the last rug the same. It was a fabulous quality rug other than the slight fault but it was where I would see it. So thank you to them on this occasion didn't work out but they do have many to choose from had it been another room I was choosing for. ,67062fbdf386a3a7f262540e
Penny Eucalyptus Geometric Wool Rug by Origins,180.0,147.1,Save 18,Wool,Easy to clean,"Geometric , Optical/ (3D)",11.0,2600,India,"Handmade , Luxurious , Modern , Wool",,67062fbdf386a3a7f262540f
Eaton Storm Geometric Rug by Katherine Carnaby,729.0,357.48,Save 51,Viscose,Easy to clean,Geometric,15.0,2800,,"Handmade , Luxurious , Modern",,67062fbdf386a3a7f2625410
Craft 23495 Grey Gold Abstract Rug by Think Rugs,135.99,80.75,Save 41,"Polyester , Polypropylene",Easy to clean,Abstract,10.0,2000,Turkey,Modern,,67062fbdf386a3a7f2625411
San Rocco 089-0001/2003-99 Gold Outdoor Rug by Mastercraft,67.0,56.95,,"Polyester , Polypropylene",Easy to clean,Plain,3.0,883,Belgium,Modern,,67062fbdf386a3a7f2625412
Chrome Stripe Feather Rug by Katherine Carnaby,689.0,345.6,Save 50,Viscose,Easy to clean,Striped,12.0,4000,,"Handmade , Luxurious , Modern , Striped",,67062fbdf386a3a7f2625413
Infinite IFT04 Light Grey Rug by Nourison,199.0,162.64,Save 18,"Polyester , Polypropylene",Professional Cleaning,"Bordered , Floral",12.0,2127,,"Traditional , Persian",,67062fbef386a3a7f2625414
Sanford 8322 W Multi Contemporary Rug by Oriental Weavers,39.99,35.4,Save 11,Polyester,Easy to clean,Abstract,9.0,,Egypt,Modern,,67062fbef386a3a7f2625415
Mojave 91 B Multi Abstract Rug by Oriental Weavers,109.99,95.08,Save 14,"Polyester , Recycled Material",Easy to clean,Abstract,7.0,,Egypt,Modern, The rug is beautiful and was delivered in 3 days as advertised ,67062fbef386a3a7f2625416
Matrix MT63 Beige Brown Rug by Think Rugs,54.99,32.3,Save 41,Polypropylene,Easy to clean,"Abstract , Geometric",10.0,2000,Turkey,Modern,,67062fbef386a3a7f2625417
Houndstooth Dark Blue 162808 Wool Rug by Ted Baker,569.0,512.1,Save 10,Wool,Easy to clean,Abstract,12.0,4500,India,"Handmade , Luxurious , Modern , Wool",,67062fbef386a3a7f2625418
La Playa Natural Wool Rug by Origins,155.0,128.8,Save 17,"Polyester , Wool",Easy to clean,Plain,20.0,,India,"Modern , Plain",,67062fbef386a3a7f2625419
