Name,Old_Price,Special_Price,Save,Material,Cleaning_Process,Pattern,Pile_height,Weight,Origin,Type,Product_Reviews,_id
Isla Cream Plain Shaggy Rug by Oriental Weavers,19.63,16.79,Save 14,Polypropylene,Easy to clean,Plain,45.0,1920,Egypt,"Modern , Plain , Shaggy"," Elegant looking rug with amazingly soft texture! Customer service was great! Would definitely buy again!  |  Brilliantly shaggy rug with oh-so-soft texture underfoot! From order to delivery, everything was great! –One Happy Customer!  |  Excellently shaggy rug with brilliant texture and plain look! The delivery timing could have been better. Customer Service was good!  |  A soft and comfy cream shaggy rug that blends seamlessly with my decor.  |  Lavishly sumptuous rug with amazing texture! The material is soft to touch! Would highly recommend it to anyone!  |  Plush appeal, elegant look and great texture! Looking absolutely wonderful in my bedroom! Got an amazing offer on it as well! ",67062f7cf386a3a7f2624e84
Think Rugs Boho 8280 Beige Rug,89.99,53.55,Save 40,Polypropylene,Easy to clean,Chequered,40.0,2100,,"Kilim , Modern , Shaggy , Moroccan"," Affordable, contemporary-look, and high quality! Apart from delayed delivery, happy with the whole ordering experience!  |  Loving the feel of my room with the new rug! It’s extremely sensational! –One Happy Customer!  |  It’s a must have boho-chic, shaggy rug! It completely accentuates my living room!  |  Great Quality, luxurious rug with Value for money! From Order to Delivery, Everything was handled by The Rug Shop UK perfectly.  |  Gorgeous, elegant and affordable rug! The colour and pattern is exactly the same. Would highly recommend!  |  Amazing look and pattern! The customer service was okay and the delivery was a bit delayed.  |  A unique look with comfortable appeal. Got an amazing deal on this one! Would definitely buy again!  |  Luxurious and Comfortable to lounge on! The material is very soft and luxurious. A total value for money! ",67062f7cf386a3a7f2624e85
Mad Men Griff 8419 Columbus Gold Designer Luxury Rug by Louis De Poortere,175.0,157.5,Save 10,"Polyester , Recycled Material",Easy to clean,Abstract,3.0,1500,Belgium,Modern,,67062f7cf386a3a7f2624e86
Checked Flatweave Red Rug By Oriental Weavers,21.33,14.5,Save 32,Polypropylene,Easy to clean,"Bordered , Chequered",,1744,Egypt,Modern, Perfect... fast delivery and good contact. Will be back.  |  A nice rug. ,67062f7cf386a3a7f2624e87
Cleo 013-0007 5171 Blue Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7df386a3a7f2624e88
Cleo 013-0007 7222 Brown Carved Shaggy Textured Rug by Mastercraft,223.2,169.08,Save 24,Polyester,Easy to clean,Abstract,25.0,2900,Belgium,Modern,,67062f7df386a3a7f2624e89
Shensi Navy Traditional Rug by Origins,55.0,42.56,Save 23,Wool,Easy to clean,Floral,25.0,2500,India,"Handmade , Traditional , Wool",,67062f7df386a3a7f2624e8a
Asiatic Dotty Navy Blue 3D Polka Dot Hand Tufted Modern Wool Rug,349.0,199.92,Save 43,Wool,Easy to clean,Dotted,917.0,,India,Modern,,67062f7df386a3a7f2624e8b
Think Rugs Polar PL95 Yellow Thick Shaggy Rug,49.99,34.72,Save 31,Acrylic,Easy to clean,Plain,60.0,2100,,"Handmade , Plain , Shaggy"," Good selection, price, quality, delivery and service. Will definitely buy again and recommended to all.
  |  Luxurious, high-quality, and affordable! From order to delivery, everything was handled by The Rug Shop UK perfectly!  |  Lovely soft and thick rug which I hoped was well worth the money!  |  Lovely colour and texture! From order to deliver, everything was handled by The Rug Shop UK perfectly!  |  It’s a must have shaggy rug! The delivery timing could have been better. Customer Service was good!  |  Really soft and comfortable appeal! The product quality is just amazing. Apart from delayed delivery, very happy with the purchase!  |  Fast and efficient service, and the rug was just what I wanted for my lounge at a very reasonable price.  |  Extremely lush and exquisite. The soft feel of the rug is just brilliant! – One Happy Customer! ",67062f7df386a3a7f2624e8c
Nova NV22 Abstract Rug by Asiatic,59.0,39.6,Save 33,Polypropylene,Easy to clean,Abstract,9.0,2250,Turkey,Modern," Good communication, quick delivery, great price, and a fab rug, love it!  |  Amazing rug for an amazing price not forgetting quick and efficient delivery.  |  High-quality Rug! Perfect for Bedroom! Whole ordering experience was great! – One Happy Customer!  |  The rug is as described looks like the photo, looks great would buy again.  |  The rug is a burst of color and energy in my living room. The abstract design and the mustard accents are vibrant and playful. It's wellmade and feels soft underfoot. This rug has definitely added a fun and artistic element to my space.  |  Bursting with colors and abstract design, this multi-colored rug adds vibrancy and personality to my decor, making it a standout piece.  |  Amazing and beautiful appeal! Apart from delayed delivery, happy with the whole ordering experience!
  |  Absolutely stunning rug! Whole ordering experience was great! – Happy with the purchase! ",67062f7df386a3a7f2624e8d
